"Al","Ba","Ca","Cr","Fe","K","Mg","Mn","Na","Nb","P","Si","Sr","Ti","V","Y","Zn","Zr","LOI"
18894,253,2437,25,5595,9804,905,217,2967,8,589,417283,47,1834,24,13,30,324,3.67
80340,862,5074,24,24690,21600,6272,620,15653,11,851,305892,278,4095,68,14,67,281,8.12
40646,453,6833,20,12170,21625,3075,372,9273,7,855,360910,111,1679,30,21,59,222,7.33
34137,374,6032,25,10911,18927,3196,256,4377,10,541,380075,73,2374,30,20,33,329,5.66
43346,418,16231,22,15248,11082,4885,480,14169,9,899,277425,249,2662,37,27,41,313,22.82
101616,477,6997,83,44624,28673,13448,751,5045,18,978,249332,98,4664,108,36,129,161,12.33
43716,413,7340,54,23991,14220,3799,403,3635,9,1536,347120,83,2542,59,28,74,187,9.07
38741,374,10921,29,14898,21285,5849,472,5193,8,493,370819,82,2248,36,23,36,288,4.65
33396,339,4746,35,13779,16312,3075,318,4748,8,550,385310,63,2170,31,19,39,267,4.8
53560,424,7461,27,9652,19251,3317,248,15579,10,655,338613,97,1954,61,27,22,229,9.34
7992,112,1194,12,3917,4018,302,116,1632,6,380,436775,25,1283,11,9,16,244,3.2
65204,302,8562,90,36161,10452,6211,651,2300,18,519,308416,100,4688,109,32,64,381,11.43
84363,597,2551,77,34552,19517,5910,620,7048,16,611,289018,75,5408,113,31,88,293,11.28
75524,741,15959,93,45043,24000,15679,612,19214,16,816,274994,207,4610,101,33,90,191,8.77
10320,150,843,18,2868,5645,482,194,1632,4,249,442945,25,1055,10,9,10,235,1.46
79017,440,4167,109,42665,18164,8804,1502,5712,23,864,289812,87,7176,134,46,100,420,10.05
72349,369,21384,73,32524,12983,9468,914,17953,10,1012,288924,264,4119,106,31,62,186,10
66580,365,82905,56,30425,15789,26051,705,10534,13,1335,212171,205,3171,82,28,92,158,17.1
62557,384,56404,156,31125,13656,14171,674,14763,10,733,270507,200,3819,84,31,66,211,10.69
64992,421,36293,92,33992,17483,12423,836,6899,14,969,263121,120,4490,97,34,74,267,14.91
39535,385,9691,67,16087,16528,3377,542,5861,13,895,360349,89,3873,51,31,43,572,7.22
48903,242,4181,90,25250,12419,4161,867,7938,17,903,356749,89,4400,79,35,51,452,5.71
39059,407,5911,17,11331,19600,2472,488,8309,7,585,382879,106,1433,26,18,34,167,3.78
51443,623,7604,18,16437,23900,2895,805,15356,12,1087,342820,113,2380,36,24,62,323,7.04
16354,94,465,19,6575,3171,663,77,445,8,301,425136,19,2842,20,20,14,786,3.64
61499,295,27101,96,38049,11190,16945,620,16321,10,1318,287896,194,4532,110,24,71,203,9.8
21329,322,225917,23,12870,6492,2895,287,371,8,284,147103,271,1769,32,16,25,195,27.41
46945,341,139367,80,26928,12353,11096,713,4748,13,1122,189733,480,2578,72,27,80,107,21.9
41229,181,171671,170,31474,9530,12061,774,2967,10,1026,146215,574,3063,105,27,79,106,27.54
27045,201,1387,72,28887,7945,2111,2618,2003,10,930,387554,36,3004,75,29,57,349,4.81
36148,376,8805,55,14268,16014,3498,379,6083,13,498,374746,79,3657,37,30,43,629,5.34
67427,336,4796,75,34902,16561,4704,1022,2151,21,589,321458,95,5402,105,39,78,314,8.28
76424,552,8362,66,83372,12710,12603,1487,13650,37,2108,237880,141,20054,196,32,161,312,11.74
70443,399,8612,98,36790,20364,8865,565,6083,17,1484,290139,104,4922,105,33,103,283,11.8
13549,158,729,31,3987,6118,603,225,3190,6,327,429576,29,1343,13,9,22,276,3.17
15983,269,6918,53,11750,9572,1025,279,2893,5,1126,328890,75,719,15,11,44,154,21.69
71819,551,13622,75,38539,28507,11880,410,14169,14,1113,298600,164,3759,87,34,95,235,6.51
84574,2675,17374,23,16786,33297,4161,364,33977,6,1405,276069,436,3087,32,12,43,131,9.52
59382,521,12271,26,13779,17574,3558,441,20475,7,786,341230,198,1631,27,22,43,216,5.9
67480,634,10735,43,33363,25394,6211,1115,14837,17,1222,302807,166,3795,76,34,87,318,8.72
52449,263,53717,757,41756,12211,40464,1100,4525,12,2186,230027,85,3297,95,30,105,133,16.82
21593,262,3402,23,7904,10161,1387,271,3783,6,484,409851,51,1703,23,13,32,267,4.08
42287,406,5153,40,17486,21750,4523,434,4525,11,720,363574,75,2860,50,24,49,298,6.12
44986,235,14401,101,23151,13722,11036,1038,6825,12,1113,334780,60,2938,80,27,72,224,8.97
46786,313,5417,83,26089,14719,3799,457,4970,14,532,346092,78,4502,83,31,55,477,8.35
